"Years","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Border patrol agents (People)","4139","4028","4287","4945","5942","6895","7982","8351","9212","9821","10045","10717","10819","11264","12349","14923","17499","20119","20558","21444","21394","21391","20824","20183","19828","19437","19555","19648","19740","19536","19357"
"    By location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Southwest border sectors (People)","3555","3444","3747","4388","5333","6315","7357","7706","8580","9147","9239","9840","9506","9891","11032","13297","15442","17408","17535","18506","18516","18610","18144","17418","17026","16605","16608","16731","16878",,
"        Northern border sectors (People)","299","310","306","296","292","267","289","311","306","340","492","569","979","988","919","1098","1363","1887","2263","2237","2206","2156","2090","2044","2059","2048","2097","2073","2019",,
"        Coastal border sectors (People)","187","183","170","153","155","146","161","152","150","148","143","152","160","160","153","172","209","223","246","232","224","213","217","213","211","212","248","255","255",,

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Customs and Border Protection","Border Patrol Agent Nationwide Staffing by Fiscal Year ","","https://www.cbp.gov/document/stats/us-border-patrol-fiscal-year-staffing-statistics-fy-1992-fy-2019","","2020","Yearly "
"Exported on: 10/23/2024"
