Year,Arizona,California,Florida,Georgia,Illinois,North Carolina,New Jersey,New York,Texas,Washington
1998,4778.332,33145.121,15111.244,7788.24,12128.37,7650.789,8143.412,18196.601,20044.141,5756.361
1999,5160.586,33987.977,16047.515,8227.303,12434.161,8081.614,8430.621,19001.78,20944.499,5910.512
2000,5273.477,34479.458,16356.966,8377.038,12488.445,8210.122,8492.671,19082.838,21319.622,5985.722
2001,5396.255,34871.843,16689.37,8508.256,12525.556,8326.201,8552.643,19137.8,21690.325,6052.349
2002,5510.364,35253.159,17004.085,8622.793,12556.006,8422.501,8601.402,19175.939,22030.931,6104.115
2003,5652.404,35574.576,17415.318,8769.252,12589.773,8553.152,8634.561,19171.567,22394.023,6178.645
2004,5839.077,35827.943,17842.038,8925.922,12609.903,8705.407,8651.974,19132.61,22778.123,6257.305
2005,6029.141,36021.202,18166.99,9155.813,12643.955,8917.27,8661.679,19104.631,23359.58,6370.753
2006,6167.681,36250.311,18367.842,9349.988,12695.866,9118.037,8677.885,19132.335,23831.983,6461.587
2007,6280.362,36604.337,18527.305,9504.843,12747.038,9309.449,8711.09,19212.436,24309.039,6562.231
2008,6343.154,36961.229,18652.644,9620.846,12796.778,9449.566,8755.602,19307.066,24801.761,6667.426
2009,6407.342,37319.550,18846.143,9712.209,12840.545,9574.586,8799.451,19399.956,25241.897,6743.009
2010,6473.416,37636.311,19055.607,9803.63,12867.783,9658.913,8828.552,19499.921,25645.504,6827.479
2011,6556.344,37944.551,19302.016,9903.58,12883.029,9751.81,8845.671,19574.362,26084.12,6898.599
2012,6634.690,38253.768,19551.678,9975.592,12895.778,9846.717,8857.821,19626.488,26479.646,6966.252
2013,6732.873,38586.706,19853.88,10071.204,12885.092,9937.295,8867.277,19653.431,26963.092,7057.531
2014,6832.810,38904.296,20219.111,10183.353,12859.585,10037.218,8870.312,19657.321,27468.531,7167.287
2015,6944.767,39149.186,20627.237,10308.442,12821.709,10161.802,8873.584,19636.391,27914.064,7299.961
2016,7048.088,39337.785,20977.089,10417.031,12779.893,10275.758,8888.147,19593.849,28291.024,7427.951
2017,7164.228,39437.463,21254.926,10519.389,12724.685,10391.358,8891.73,19544.098,28624.564,7526.793
2018,7291.843,39437.610,21492.056,10628.02,12667.017,10501.384,8891.258,19463.131,28986.794,7614.024
2019,7186.683,39503.200,21591.299,10732.39,12790.357,10453.812,9272.392,20104.71,29234.361,7724.566
2020,7272.487,39145.060,21830.708,10790.385,12690.341,10567.1,9269.175,19854.526,29561.286,7741.433
2021,7365.684,39040.616,22245.521,10913.15,12582.515,10695.965,9260.817,19673.2,30029.848,7784.477
2022,7431.344,38965.193,22610.726,11029.227,12549.689,10835.491,9290.841,19571.216,30503.301,7812.88
